model_name,quality_strata,sample_count,mean_blur_laplacian,mean_michelson_contrast,mean_confidence,positive_detections,mean_detected_objects
MalariaScreener_Sudan,Low,1352.0,7.23,0.9443,0.6634,951.0,0.7
MalariaScreener_Sudan,Medium,1351.0,11.82,0.9613,0.6647,941.0,0.7
MalariaScreener_Sudan,High,1351.0,25.94,0.9697,0.6265,873.0,0.65
MalariaScreener_Thick,Low,1352.0,7.23,0.9443,0.6633,910.0,0.67
MalariaScreener_Thick,Medium,1351.0,11.82,0.9613,0.6322,855.0,0.63
MalariaScreener_Thick,High,1351.0,25.94,0.9697,0.7078,972.0,0.72
MalariaScreener_Thin,Low,1352.0,7.23,0.9443,0.6957,949.0,0.7
MalariaScreener_Thin,Medium,1351.0,11.82,0.9613,0.7467,1011.0,0.75
MalariaScreener_Thin,High,1351.0,25.94,0.9697,0.7983,1098.0,0.81
fbononibelloepoch_YOLOv8,Low,1352.0,7.23,0.9443,0.5454,1099.0,5.64
fbononibelloepoch_YOLOv8,Medium,1351.0,11.82,0.9613,0.5165,1063.0,7.06
fbononibelloepoch_YOLOv8,High,1351.0,25.94,0.9697,0.5578,1156.0,12.53
