Model,Smear_Type,Quality_Strata,n,TP,FN,Sensitivity,Mean_Laplacian
MalariaScreener_Sudan,thick,Low,144,103,40,0.7203,7.0
MalariaScreener_Sudan,thick,Medium,144,99,45,0.6875,11.19
MalariaScreener_Sudan,thick,High,144,91,53,0.6319,24.3
MalariaScreener_Sudan,thin,Low,337,240,87,0.7339,8.46
MalariaScreener_Sudan,thin,Medium,337,252,64,0.7975,13.02
MalariaScreener_Sudan,thin,High,337,213,104,0.6719,24.54
MalariaScreener_Thick,thick,Low,144,98,45,0.6853,7.0
MalariaScreener_Thick,thick,Medium,144,99,45,0.6875,11.19
MalariaScreener_Thick,thick,High,144,99,45,0.6875,24.3
MalariaScreener_Thick,thin,Low,337,206,121,0.63,8.46
MalariaScreener_Thick,thin,Medium,337,225,91,0.712,13.02
MalariaScreener_Thick,thin,High,337,245,72,0.7729,24.54
MalariaScreener_Thin,thick,Low,144,100,43,0.6993,7.0
MalariaScreener_Thin,thick,Medium,144,110,34,0.7639,11.19
MalariaScreener_Thin,thick,High,144,117,27,0.8125,24.3
MalariaScreener_Thin,thin,Low,337,242,85,0.7401,8.46
MalariaScreener_Thin,thin,Medium,337,218,98,0.6899,13.02
MalariaScreener_Thin,thin,High,337,249,68,0.7855,24.54
fbononibelloepoch_YOLOv8,thick,Low,144,123,20,0.8601,7.0
fbononibelloepoch_YOLOv8,thick,Medium,144,129,15,0.8958,11.19
fbononibelloepoch_YOLOv8,thick,High,144,126,18,0.875,24.3
fbononibelloepoch_YOLOv8,thin,Low,337,167,160,0.5107,8.46
fbononibelloepoch_YOLOv8,thin,Medium,337,201,115,0.6361,13.02
fbononibelloepoch_YOLOv8,thin,High,337,247,70,0.7792,24.54
