Modality,Model,Strata,N,Sensitivity,Mean_Blur_Laplacian
Thick,MalariaScreener_Sudan,Low,981,70.96,7.2
Thick,MalariaScreener_Sudan,Medium,802,64.16,11.8
Thick,MalariaScreener_Sudan,High,828,64.24,27.3
Thick,MalariaScreener_Thick,Low,981,67.28,7.2
Thick,MalariaScreener_Thick,Medium,802,61.53,11.8
Thick,MalariaScreener_Thick,High,828,69.82,27.3
Thick,MalariaScreener_Thin,Low,981,67.89,7.2
Thick,MalariaScreener_Thin,Medium,802,78.45,11.8
Thick,MalariaScreener_Thin,High,828,82.3,27.3
Thick,fbononibelloepoch_YOLOv8,Low,981,86.4,7.2
Thick,fbononibelloepoch_YOLOv8,Medium,802,87.22,11.8
Thick,fbononibelloepoch_YOLOv8,High,828,88.73,27.3
