Modality,Model,Strata,N,Sensitivity,Mean_Blur_Laplacian
Thick,MalariaScreener_Sudan,Low,1144,70.96,7.2
Thick,MalariaScreener_Sudan,Medium,933,65.02,11.8
Thick,MalariaScreener_Sudan,High,966,63.97,27.0
Thick,MalariaScreener_Thick,Low,1144,67.63,7.2
Thick,MalariaScreener_Thick,Medium,933,62.22,11.8
Thick,MalariaScreener_Thick,High,966,69.78,27.0
Thick,MalariaScreener_Thin,Low,1144,68.07,7.2
Thick,MalariaScreener_Thin,Medium,933,78.36,11.8
Thick,MalariaScreener_Thin,High,966,82.24,27.0
Thick,fbononibelloepoch_YOLOv8,Low,1144,86.4,7.2
Thick,fbononibelloepoch_YOLOv8,Medium,933,87.51,11.8
Thick,fbononibelloepoch_YOLOv8,High,966,88.58,27.0
Thin,MalariaScreener_Sudan,Low,208,65.5,7.3
Thin,MalariaScreener_Sudan,Medium,419,81.34,11.9
Thin,MalariaScreener_Sudan,High,384,68.99,23.4
Thin,MalariaScreener_Thick,Low,208,67.5,7.3
Thin,MalariaScreener_Thick,Medium,419,64.93,11.9
Thin,MalariaScreener_Thick,High,384,78.21,23.4
Thin,MalariaScreener_Thin,Low,208,81.5,7.3
Thin,MalariaScreener_Thin,Medium,419,65.92,11.9
Thin,MalariaScreener_Thin,High,384,78.49,23.4
Thin,fbononibelloepoch_YOLOv8,Low,208,52.0,7.3
Thin,fbononibelloepoch_YOLOv8,Medium,419,58.21,11.9
Thin,fbononibelloepoch_YOLOv8,High,384,77.37,23.4
